0,1,2,3,4,5,6,7,1,2,3,4,5
0112221,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺,高等UNIX程式設計,演算法
0113110,無線網路概論,網路通訊原理,密碼學概論,訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦動畫與特效,電腦視覺
0116063,網路通訊原理,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,無線網路,高等UNIX程式設計,電腦視覺,電腦動畫與特效,演算法
0116076,網路通訊原理,無線網路概論,電腦安全概論,競技程式設計(一),訊號與系統,影像處理概論,物聯網應用設計與實作,無線網路,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效
0116089,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,電腦動畫與特效,虛擬實境與擴增實境,電腦視覺
0116249,資料庫系統概論,人工智慧概論,網路通訊原理,電腦安全概論,無線網路概論,訊號與系統,競技程式設計(一),數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計,電腦動畫與特效
0116251,資料庫系統概論,密碼學概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺,電腦動畫與特效
0210186,資料庫系統概論,網路通訊原理,密碼學概論,人工智慧概論,電腦安全概論,無線網路概論,訊號與系統,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0210529,資料庫系統概論,網路通訊原理,密碼學概論,人工智慧概論,電腦安全概論,無線網路概論,訊號與系統,無線網路,數位遊戲與學習,虛擬實境與擴增實境,電腦視覺,高等UNIX程式設計
0211229,網路通訊原理,密碼學概論,競技程式設計(一),組合語言與系統程式,影像處理概論,物聯網應用設計與實作,數值方法,無線網路,數位遊戲與學習,虛擬實境與擴增實境,高等UNIX程式設計,電腦視覺
