0,1,2,3,4,5,6,7,8,9,10
0112221,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0113110,無線網路概論,網路通訊原理,密碼學概論,訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0116063,網路通訊原理,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運
0116076,網路通訊原理,無線網路概論,電腦安全概論,競技程式設計(一),訊號與系統,影像處理概論,物聯網應用設計與實作,數值方法,電路與電子學(二),科技創業與營運
0116089,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論
0116249,資料庫系統概論,人工智慧概論,網路通訊原理,電腦安全概論,無線網路概論,訊號與系統,競技程式設計(一),影像處理概論,組合語言與系統程式,物聯網應用設計與實作
0116251,資料庫系統概論,密碼學概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,電路與電子學(二),嵌入式系統設計概論與實作
0210186,資料庫系統概論,網路通訊原理,密碼學概論,人工智慧概論,電腦安全概論,無線網路概論,訊號與系統,競技程式設計(一),影像處理概論,組合語言與系統程式
0210529,資料庫系統概論,網路通訊原理,密碼學概論,人工智慧概論,電腦安全概論,無線網路概論,訊號與系統,競技程式設計(一),影像處理概論,組合語言與系統程式
0211229,網路通訊原理,密碼學概論,競技程式設計(一),組合語言與系統程式,影像處理概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0211230,網路通訊原理,密碼學概論,無線網路概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論
0211232,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運
0211261,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0213344,網路通訊原理,競技程式設計(一),訊號與系統,數值方法,物聯網應用設計與實作,組合語言與系統程式,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二)
0213355,資料庫系統概論,網路通訊原理,密碼學概論,人工智慧概論,電腦安全概論,無線網路概論,訊號與系統,競技程式設計(一),影像處理概論,組合語言與系統程式
0216008,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0216011,無線網路概論,競技程式設計(一),電腦安全概論,訊號與系統,影像處理概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運
0216014,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運
0216030,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0216048,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0216050,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,科技創業與營運,電路與電子學(二),無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0216061,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0216065,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,無人機自動飛航與電腦視覺概論,電路與電子學(二)
0216068,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論
0216070,無線網路概論,競技程式設計(一),訊號與系統,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,電路與電子學(二),無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0216089,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運
0216092,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,數值方法,數位訊號處理概論,科技創業與營運,電路與電子學(二),嵌入式系統設計概論與實作
0216093,網路通訊原理,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0216098,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,影像處理概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0216207,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二),嵌入式系統設計概論與實作
0216222,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論
0216228,競技程式設計(一),人工智慧概論,訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0216244,無線網路概論,密碼學概論,人工智慧概論,訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0216246,密碼學概論,無線網路概論,競技程式設計(一),訊號與系統,影像處理概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,電路與電子學(二),科技創業與營運
0216247,人工智慧概論,密碼學概論,競技程式設計(一),訊號與系統,組合語言與系統程式,數值方法,電路與電子學(二),數位訊號處理概論,嵌入式系統設計概論與實作,無人機自動飛航與電腦視覺概論
0216248,密碼學概論,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,電路與電子學(二),嵌入式系統設計概論與實作
0216301,資料庫系統概論,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,數值方法,影像處理概論
0216302,資料庫系統概論,密碼學概論,人工智慧概論,無線網路概論,競技程式設計(一),電腦安全概論,訊號與系統,影像處理概論,組合語言與系統程式,物聯網應用設計與實作
0216303,資料庫系統概論,密碼學概論,無線網路概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,影像處理概論,物聯網應用設計與實作,數值方法,數位訊號處理概論
0216308,無線網路概論,電腦安全概論,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作,計算機網路管理
0216315,網路通訊原理,密碼學概論,無線網路概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,數值方法,影像處理概論,數位訊號處理概論
0216322,密碼學概論,無線網路概論,競技程式設計(一),電腦安全概論,訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運
0216323,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0216326,無線網路概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0216330,資料庫系統概論,網路通訊原理,無線網路概論,人工智慧概論,競技程式設計(一),組合語言與系統程式,物聯網應用設計與實作,影像處理概論,數值方法,數位訊號處理概論
0216338,無線網路概論,網路通訊原理,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運
0216341,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論
0310002,資料庫系統概論,網路通訊原理,密碼學概論,人工智慧概論,電腦安全概論,無線網路概論,訊號與系統,競技程式設計(一),影像處理概論,組合語言與系統程式
0310009,資料庫系統概論,網路通訊原理,密碼學概論,人工智慧概論,電腦安全概論,無線網路概論,訊號與系統,競技程式設計(一),影像處理概論,組合語言與系統程式
0310511,網路通訊原理,無線網路概論,人工智慧概論,訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運
0311020,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0311035,網路通訊原理,無線網路概論,競技程式設計(一),人工智慧概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0311222,無線網路概論,網路通訊原理,密碼學概論,電腦安全概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0311241,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0311258,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),人工智慧概論,電腦安全概論,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運
0311274,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),電腦安全概論,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運
0311550,網路通訊原理,無線網路概論,人工智慧概論,電腦安全概論,訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,科技創業與營運,電路與電子學(二)
0311614,資料庫系統概論,人工智慧概論,密碼學概論,電腦安全概論,競技程式設計(一),組合語言與系統程式,物聯網應用設計與實作,電路與電子學(二),科技創業與營運,嵌入式系統設計概論與實作
0312012,資料庫系統概論,網路通訊原理,無線網路概論,密碼學概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論
0312203,無線網路概論,網路通訊原理,競技程式設計(一),人工智慧概論,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論
0312209,無線網路概論,密碼學概論,競技程式設計(一),人工智慧概論,訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論
0312236,無線網路概論,密碼學概論,訊號與系統,物聯網應用設計與實作,組合語言與系統程式,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0312238,無線網路概論,密碼學概論,人工智慧概論,訊號與系統,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0312510,資料庫系統概論,人工智慧概論,網路通訊原理,密碼學概論,電腦安全概論,無線網路概論,競技程式設計(一),影像處理概論,組合語言與系統程式,物聯網應用設計與實作
0312512,無線網路概論,網路通訊原理,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0312546,網路通訊原理,密碼學概論,無線網路概論,人工智慧概論,競技程式設計(一),電腦安全概論,組合語言與系統程式,影像處理概論,物聯網應用設計與實作,數值方法
0313335,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,電路與電子學(二),無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0313342,網路通訊原理,密碼學概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運
0313354,無線網路概論,網路通訊原理,訊號與系統,電腦安全概論,物聯網應用設計與實作,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0313404,網路通訊原理,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0313415,密碼學概論,無線網路概論,競技程式設計(一),訊號與系統,組合語言與系統程式,物聯網應用設計與實作,數值方法,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0316001,無線網路概論,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,組合語言與系統程式,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,嵌入式系統設計概論與實作
0316002,無線網路概論,網路通訊原理,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運
0316003,無線網路概論,訊號與系統,電腦安全概論,組合語言與系統程式,物聯網應用設計與實作,數值方法,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0316004,無線網路概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論
0316005,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,影像處理概論,科技創業與營運
0316006,無線網路概論,競技程式設計(一),訊號與系統,數值方法,物聯網應用設計與實作,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運,電路與電子學(二)
0316007,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0316010,無線網路概論,競技程式設計(一),訊號與系統,電腦安全概論,物聯網應用設計與實作,數值方法,組合語言與系統程式,影像處理概論,數位訊號處理概論,科技創業與營運
0316011,密碼學概論,競技程式設計(一),訊號與系統,物聯網應用設計與實作,數值方法,組合語言與系統程式,數位訊號處理概論,科技創業與營運,無人機自動飛航與電腦視覺概論,電路與電子學(二)
