0,1,2,3,4,5,6,7,8,9,10
0011219,人工智慧概論,密碼學概論,電腦安全概論,無線網路概論,訊號與系統,網路通訊原理,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一)
0011234,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),
0011244,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),
0011248,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,訊號與系統,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,數值方法,
0011253,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0011255,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0011256,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,嵌入式系統設計概論與實作,網路通訊原理,數值方法,,,
0011264,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,,
0011291,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0012033,電腦安全概論,訊號與系統,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,,,,,
0012036,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0012216,資料庫系統概論,人工智慧概論,密碼學概論,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),
0012553,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0013147,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0013244,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),,,,
0013312,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0013313,人工智慧概論,密碼學概論,無線網路概論,訊號與系統,電腦安全概論,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,數值方法,
0013339,資料庫系統概論,密碼學概論,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),,
0016001,資料庫系統概論,人工智慧概論,密碼學概論,組合語言與系統程式,電腦安全概論,訊號與系統,無線網路概論,影像處理概論,嵌入式系統設計概論與實作,數值方法
0016002,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),數值方法,,,
0016003,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016004,資料庫系統概論,人工智慧概論,密碼學概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),,
0016005,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016006,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),,,,
0016007,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016008,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016009,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0016012,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016013,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016014,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),,,
0016015,無線網路概論,電腦安全概論,網路通訊原理,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016016,無線網路概論,網路通訊原理,電腦安全概論,影像處理概論,數值方法,競技程式設計(一),物聯網應用設計與實作,,,
0016017,無線網路概論,電腦安全概論,網路通訊原理,數值方法,競技程式設計(一),,,,,
0016018,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016019,無線網路概論,網路通訊原理,電腦安全概論,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016020,無線網路概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,,
0016021,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,競技程式設計(一),嵌入式系統設計概論與實作,,
0016022,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,競技程式設計(一),嵌入式系統設計概論與實作,,,
0016023,無線網路概論,電腦安全概論,網路通訊原理,訊號與系統,影像處理概論,數值方法,嵌入式系統設計概論與實作,競技程式設計(一),,
0016024,無線網路概論,訊號與系統,網路通訊原理,影像處理概論,嵌入式系統設計概論與實作,競技程式設計(一),,,,
